epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.884,1.55238,4.89772,1.56565,0,0,0,0,1.39302,4.25588,1.4638,5.321e-05,5.321e-05,5.321e-05
2,35.6347,1.43501,4.72072,1.52381,0,0,0,0,1.27873,4.26812,1.38364,0.000107381,0.000107381,0.000107381
3,48.1298,1.38104,4.69142,1.49507,0.01998,0.03934,0.01998,0.0176,1.23371,4.21719,1.31567,0.000159321,0.000159321,0.000159321
4,61.2029,1.32353,4.4705,1.43436,0.05794,0.18004,0.08394,0.0626,1.28073,4.03901,1.32225,0.00020903,0.00020903,0.00020903
5,73.0687,1.32255,4.19002,1.40888,0.03314,0.30784,0.10593,0.07758,1.30046,3.72589,1.34179,0.000256507,0.000256507,0.000256507
6,85.5396,1.30132,4.05764,1.35943,0.75348,0.11448,0.15659,0.10738,1.31265,3.33725,1.32361,0.000282013,0.000282013,0.000282013
7,97.0753,1.25769,3.80389,1.35759,0.63795,0.19719,0.19366,0.13437,1.31193,3.05233,1.3435,0.000275816,0.000275816,0.000275816
8,109.038,1.31543,3.61586,1.35089,0.56632,0.26985,0.25992,0.18646,1.29159,2.82521,1.32932,0.000269618,0.000269618,0.000269618
9,121.313,1.26276,3.47418,1.35984,0.60772,0.2942,0.29412,0.21173,1.25692,2.59805,1.31927,0.000263421,0.000263421,0.000263421
10,133.688,1.303,3.35699,1.36368,0.7365,0.2901,0.35692,0.25896,1.18813,2.44431,1.26483,0.000257223,0.000257223,0.000257223
11,145.17,1.26362,3.11332,1.32193,0.67289,0.35385,0.39537,0.29285,1.14897,2.24692,1.25382,0.000251026,0.000251026,0.000251026
12,157.248,1.2073,3.08085,1.31275,0.60561,0.38934,0.43269,0.31462,1.15149,2.13113,1.24791,0.000244829,0.000244829,0.000244829
13,169.567,1.22839,2.95683,1.31384,0.7258,0.42129,0.49834,0.35828,1.12776,1.95033,1.23493,0.000238631,0.000238631,0.000238631
14,181.535,1.20212,2.82304,1.29108,0.72643,0.43438,0.51841,0.36511,1.09995,1.81557,1.2314,0.000232434,0.000232434,0.000232434
15,193.526,1.18721,2.58766,1.28868,0.8565,0.44172,0.55343,0.38564,1.09794,1.73013,1.22571,0.000226236,0.000226236,0.000226236
16,205.166,1.21758,2.67003,1.28377,0.7357,0.49096,0.57497,0.40104,1.11414,1.70051,1.2163,0.000220039,0.000220039,0.000220039
17,216.896,1.15227,2.40764,1.25015,0.80252,0.52079,0.60356,0.41888,1.0638,1.64584,1.18471,0.000213842,0.000213842,0.000213842
18,228.424,1.14493,2.41695,1.25885,0.78054,0.5418,0.63546,0.45991,1.06635,1.62436,1.18629,0.000207644,0.000207644,0.000207644
19,239.85,1.11386,2.27598,1.24665,0.73905,0.60378,0.63707,0.4611,1.06039,1.55259,1.17004,0.000201447,0.000201447,0.000201447
20,251.22,1.15101,2.38138,1.2454,0.775,0.57529,0.65748,0.49012,1.02332,1.42627,1.15023,0.000195249,0.000195249,0.000195249
21,262.795,1.12202,2.23476,1.22349,0.82903,0.60493,0.68927,0.51888,1.00902,1.34317,1.14938,0.000189052,0.000189052,0.000189052
22,274.701,1.06358,2.08058,1.19943,0.78479,0.62705,0.69591,0.51953,1.00172,1.44363,1.1543,0.000182855,0.000182855,0.000182855
23,286.512,1.0803,2.10873,1.21052,0.771,0.65664,0.70351,0.52505,1.00283,1.35379,1.15002,0.000176657,0.000176657,0.000176657
24,298.932,1.08588,2.04971,1.22221,0.81483,0.65099,0.71715,0.54418,0.96604,1.36433,1.11797,0.00017046,0.00017046,0.00017046
25,311.558,1.12728,1.96477,1.21253,0.82981,0.6319,0.72266,0.55423,0.94974,1.37537,1.10457,0.000164262,0.000164262,0.000164262
26,323.671,1.05782,1.95117,1.19298,0.83267,0.66863,0.75866,0.58039,0.93802,1.27122,1.08273,0.000158065,0.000158065,0.000158065
27,335.975,1.07202,1.90512,1.20029,0.87188,0.68801,0.78268,0.59709,0.92492,1.13605,1.0751,0.000151868,0.000151868,0.000151868
28,347.972,1.00562,1.8592,1.15174,0.89779,0.70057,0.79671,0.60839,0.92501,1.07495,1.073,0.00014567,0.00014567,0.00014567
